Product,blackout,Type
woven farmhouse,black out,grayish
woven farm house,sun block,grey
woven semi sheer,sun blocking,gray
woven rustic,,gold
linen farmhouse,,yellow
linen farm house,,mustard
linen semi sheer,,navy
linen rustic,,bluish
texture grommet,,blue
texture coastal,,indigo
texture heavy,,denim
texture pattern,,dark grey
texture modern,,charcoal
texture woven,,black grey
texture texture,,burlap
texture tweed,,sand
texture chambray,,taupe
texture farmhouse,,tan
texture farm house,,beige
texture semi sheer,,light brown
texture rustic,,natural
tweed grommet,,neutral
tweed coastal,,greige
tweed heavy,,ivory
tweed pattern,,cream
tweed modern,,off white
tweed woven,,black
tweed texture,,black and white
tweed tweed,,light blue
tweed chambray,,light gray
tweed farmhouse,,silver
tweed farm house,,light grey
tweed semi sheer,,pink
tweed rustic,,light pink
chambray grommet,,dark pink
chambray coastal,,white
chambray heavy,,teal
chambray pattern,,dark teal
chambray modern,,light teal
chambray woven,,
chambray texture,,
chambray tweed,,
chambray chambray,,
chambray farmhouse,,
chambray farm house,,
chambray semi sheer,,
chambray rustic,,
chambray boho,,
chambray bohemian,,
